Date,AAPL,GOOGL,MSFT
2020-01-02,72.79602813720703,68.18681335449219,153.6306610107422
2020-01-03,72.08828735351562,67.83011627197266,151.7177276611328
2020-01-06,72.6626968383789,69.63805389404297,152.10987854003906
2020-01-07,72.32098388671875,69.50354766845703,150.72299194335938
2020-01-08,73.48435974121094,69.99825286865234,153.12376403808594
2020-01-09,75.04521942138672,70.73308563232422,155.03672790527344
2020-01-10,75.21485900878906,71.18993377685547,154.31936645507812
2020-01-13,76.82178497314453,71.74143981933594,156.1749267578125
2020-01-14,75.78443145751953,71.2711410522461,155.07501220703125
2020-01-15,75.45967864990234,71.70008087158203,156.0792694091797
2020-01-16,76.40491485595703,72.24610900878906,158.93919372558594
2020-01-17,77.25079345703125,73.70880126953125,159.8287353515625
2020-01-21,76.72728729248047,73.84481048583984,159.25485229492188
2020-01-22,77.00114440917969,73.9255142211914,158.48965454101562
2020-01-23,77.37197875976562,73.96636199951172,159.46527099609375
2020-01-24,77.14899444580078,73.04370880126953,157.85838317871094
2020-01-27,74.88040924072266,71.32793426513672,155.21844482421875
2020-01-28,76.99874114990234,72.26304626464844,158.2601318359375
2020-01-29,78.6104965209961,72.57191467285156,160.72781372070312
2020-01-30,78.49656677246094,72.44986724853516,165.2615509033203
2020-01-31,75.0161361694336,71.38024139404297,162.82249450683594
2020-02-03,74.81012725830078,73.86223602294922,166.79196166992188
2020-02-04,77.27987670898438,72.00946044921875,172.28216552734375
2020-02-05,77.91004180908203,72.04133605957031,172.07171630859375
2020-02-06,78.82134246826172,73.53194427490234,175.639404296875
2020-02-07,77.74996948242188,73.68836975097656,175.88812255859375
2020-02-10,78.11922454833984,75.16053771972656,180.48880004882812
2020-02-11,77.64791107177734,75.23027801513672,176.41419982910156
2020-02-12,79.49187469482422,75.65724182128906,176.67242431640625
2020-02-13,78.92581939697266,75.39618682861328,175.7159423828125
2020-02-14,78.94526672363281,75.66221618652344,177.28457641601562
2020-02-18,77.4997329711914,75.69759368896484,179.082763671875
2020-02-19,78.62215423583984,75.96810913085938,179.61984252929688
2020-02-20,77.81554412841797,75.57553100585938,176.8768768310547
2020-02-21,76.05419921875,73.90508270263672,171.2853240966797
2020-02-24,72.44158935546875,70.736572265625,163.90028381347656
2020-02-25,69.98783874511719,69.06563568115234,161.19558715820312
2020-02-26,71.09811401367188,69.27237701416016,163.209716796875
2020-02-27,66.45055389404297,65.51001739501953,151.7100830078125
2020-02-28,66.41167449951172,66.72063446044922,155.38351440429688
2020-03-02,72.59465026855469,69.06563568115234,165.72254943847656
2020-03-03,70.28910064697266,66.6444091796875,157.7811737060547
